month,美国CPI同比(%),美国失业率(%),美国10年期国债收益率(%),美元兑人民币(月均),VIX恐慌指数,布伦特原油(USD/桶),LME铜(USD/磅),中国CPI同比(%),中国制造业PMI,美国非农就业人数(千人),美国工业产出指数(2017=100),中国M2同比(%),社会融资规模存量同比(%)
2015-01-01,234.75,5.70,1.90,6.22,19.01,48.93,2.64,0.80,49.80,140568.00,102.90,12.20,13.90
2015-02-01,235.34,5.50,1.98,6.25,15.85,58.25,2.60,1.40,49.80,140827.00,102.20,11.70,13.90
2015-03-01,235.98,5.40,2.05,6.24,14.77,56.52,2.69,1.40,50.10,140923.00,101.90,12.20,13.90
2015-04-01,236.22,5.40,1.93,6.20,13.50,59.83,2.74,1.50,50.10,141196.00,101.30,11.10,13.90
2015-05-01,237.00,5.60,2.18,6.20,13.12,65.19,2.86,1.20,50.20,141538.00,100.90,10.10,13.90
2015-06-01,237.66,5.30,2.37,6.21,14.25,62.62,2.65,1.40,50.20,141709.00,100.60,9.40,13.90
2015-07-01,238.03,5.20,2.34,6.21,14.55,56.83,2.48,1.60,50.00,141991.00,101.20,8.90,13.90
2015-08-01,238.03,5.10,2.17,6.33,19.12,47.53,2.33,2.00,49.70,142125.00,101.00,9.00,13.50
2015-09-01,237.50,5.00,2.17,6.37,24.45,48.03,2.37,1.60,49.80,142275.00,100.80,9.50,13.30
2015-10-01,237.73,5.00,2.07,6.35,16.76,48.91,2.37,1.60,49.80,142579.00,100.30,10.00,13.00
2015-11-01,238.02,5.10,2.26,6.36,16.15,45.10,2.18,1.50,49.60,142808.00,99.50,10.70,12.40
2015-12-01,237.76,5.00,2.24,6.45,18.18,38.53,2.10,1.60,49.70,143077.00,99.00,11.10,12.40
2016-01-01,237.65,4.80,2.09,6.57,23.40,32.05,2.03,1.80,49.40,143210.00,99.60,13.30,12.40
2016-02-01,237.34,4.90,1.78,6.55,22.55,33.76,2.09,2.30,49.90,143407.00,99.00,12.80,12.70
